"","Var1","Freq"
"1","",0.000118652112007594
"2","autre",0.0281205505457997
"3","en_conserve",0.00166112956810631
"4","frais",0.846226862838159
"5","fum",0.12375415282392
"6","sal",0.000118652112007594
